fname,labels,freesound_id,license
ac9e7a91.wav,Church_bell,65579,CC-BY-NC
65ae847e.wav,Frying_(food),65583,CC Sampling+
32ec2454.wav,Computer_keyboard,360502,CC0
af7b5bab.wav,Scissors,360503,CC0
7e8cd849.wav,Purr,65598,CC-BY
fdfbf113.wav,Gasp,98394,CC-BY
130aa63f.wav,"Applause,Cheering",32863,CC-BY-NC
db198721.wav,"Applause,Crowd,Cheering",32864,CC-BY-NC
492c192f.wav,"Applause,Cheering",32865,CC-BY-NC
586ab251.wav,"Applause,Cheering",32866,CC-BY-NC
5c35f4ad.wav,"Applause,Crowd,Cheering",32867,CC-BY-NC
3ed445a9.wav,"Applause,Cheering",32868,CC-BY-NC
4771c0af.wav,"Sink_(filling_or_washing),Water_tap_and_faucet",32870,CC-BY-NC
e3489c1e.wav,Tap,327817,CC0
19105052.wav,Computer_keyboard,137,CC-BY
63f15f13.wav,Zipper_(clothing),131218,CC-BY
bfb49218.wav,Stream,98454,CC0
1d721e8a.wav,Chink_and_clink,32918,CC0
8b79c425.wav,"Sink_(filling_or_washing),Water_tap_and_faucet",32920,CC0
1b7bfce2.wav,Zipper_(clothing),131226,CC-BY
d05efc4e.wav,Toilet_flush,327841,CC-BY-NC
76f87729.wav,Purr,262308,CC0
e5d3e758.wav,"Bathtub_(filling_or_washing),Water_tap_and_faucet",327844,CC-BY-NC
9940db05.wav,"Bathtub_(filling_or_washing),Water_tap_and_faucet",327845,CC-BY-NC
edd6936f.wav,Run,32939,CC0
a0ada026.wav,Zipper_(clothing),393425,CC0
7a5e5707.wav,Shatter,426205,CC-BY
42126f20.wav,Church_bell,426216,CC0
0d06ee8b.wav,Toilet_flush,131305,CC0
75ba74db.wav,Car_passing_by,237,CC-BY-NC
1536cdfe.wav,Zipper_(clothing),393454,CC0
f0b26cfb.wav,Tick-tock,426221,CC0
bd590943.wav,Zipper_(clothing),393459,CC0
49cc7d13.wav,Zipper_(clothing),393460,CC0
1a598ecc.wav,Zipper_(clothing),393462,CC0
bfa6c58b.wav,Male_speech_and_man_speaking,247,CC-BY-NC
845b9b61.wav,Purr,98553,CC-BY
55cf17c7.wav,Child_speech_and_kid_speaking,426233,CC-BY-NC
7a72cf5d.wav,Male_singing,65799,CC-BY-NC
ad4fee9e.wav,Male_singing,65800,CC-BY-NC
fcd34fbf.wav,Male_singing,65801,CC-BY-NC
735fe89e.wav,Scissors,426268,CC0
46dc70fc.wav,Zipper_(clothing),426270,CC0
2a0c0987.wav,Purr,305,CC-BY
0435216a.wav,Keys_jangling,334,CC-BY
43348c06.wav,Buzz,98648,CC-BY
bacae58a.wav,Frying_(food),360796,CC0
ba029236.wav,Frying_(food),360797,CC0
74413d46.wav,Church_bell,98655,CC-BY
7a06e703.wav,"Applause,Clapping",393571,CC0
45e821c3.wav,Meow,98671,CC Sampling+
a0a85eae.wav,Meow,98674,CC Sampling+
4e83f40d.wav,Hi-hat,33138,CC-BY
20adca87.wav,Hi-hat,33139,CC-BY
14c64597.wav,Toilet_flush,360819,CC0
7b0c6614.wav,Church_bell,65911,CC-BY-NC
