fname,labels,flickr_video_URL,license
00097e21.wav,Bathtub_(filling_or_washing),http://www.flickr.com/videos/8566600@N07/4372020310/,CC BY 2.0
000b6cfb.wav,Motorcycle,http://www.flickr.com/videos/72067179@N00/4562502071/,CC BY 2.0
00116cd2.wav,"Marimba_and_xylophone,Glockenspiel",http://www.flickr.com/videos/46762643@N08/7810360920/,CC BY 2.0
00127d14.wav,"Water_tap_and_faucet,Sink_(filling_or_washing)",http://www.flickr.com/videos/68676478@N00/3044280898/,CC BY 2.0
0019adae.wav,Raindrop,http://www.flickr.com/videos/22707445@N00/7912866698/,CC BY 2.0
001b819d.wav,Bass_guitar,http://www.flickr.com/videos/76496912@N03/9415850734/,CC BY-SA 2.0
001c054e.wav,"Raindrop,Trickle_and_dribble",http://www.flickr.com/videos/25921029@N05/2721348565/,CC BY 2.0
001ceaf1.wav,"Strum,Acoustic_guitar",http://www.flickr.com/videos/81265854@N05/9029645314/,CC BY-SA 2.0
001f3501.wav,"Bass_drum,Hi-hat",http://www.flickr.com/videos/8193351@N03/3178163774/,CC BY 2.0
0020becb.wav,Harmonica,http://www.flickr.com/videos/51035598215@N01/7570442416/,CC BY-SA 2.0
002190ca.wav,Slam,http://www.flickr.com/videos/83307497@N00/8550587504/,CC BY 2.0
0021e588.wav,Scissors,http://www.flickr.com/videos/54738372@N00/13155841695/,CC BY-SA 2.0
0022e717.wav,"Cheering,Crowd",http://www.flickr.com/videos/38891581@N00/3918051383/,CC BY 2.0
0024f39c.wav,Crackle,http://www.flickr.com/videos/7806965@N07/4078564322/,CC BY 2.0
002a3dd5.wav,Purr,http://www.flickr.com/videos/95792332@N00/5534502145/,CC BY-SA 2.0
002d3508.wav,Harmonica,http://www.flickr.com/videos/24330894@N03/2538147326/,CC BY 2.0
002d93e0.wav,Crowd,http://www.flickr.com/videos/67946834@N07/6961116523/,CC BY 2.0
0030c602.wav,Yell,http://www.flickr.com/videos/49503153640@N01/4927320022/,CC BY-SA 2.0
0035d771.wav,Female_singing,http://www.flickr.com/videos/94079382@N00/2728039125/,CC BY-SA 2.0
0038b7f7.wav,Printer,http://www.flickr.com/videos/7774088@N08/4312644791/,CC BY 2.0
003e23a2.wav,Printer,http://www.flickr.com/videos/24003845@N00/3258485506/,CC BY-SA 2.0
003f8fd9.wav,Finger_snapping,http://www.flickr.com/videos/84056180@N00/8723207768/,CC BY-SA 2.0
00406f52.wav,Microwave_oven,http://www.flickr.com/videos/78835633@N00/3720571672/,CC BY-SA 2.0
0041f54a.wav,Hi-hat,http://www.flickr.com/videos/33017923@N08/6806442817/,CC BY-SA 2.0
004a8eec.wav,Run,http://www.flickr.com/videos/70936006@N08/9907932966/,CC BY 2.0
004ac24a.wav,Bass_drum,http://www.flickr.com/videos/34034435@N00/5675978889/,CC BY 2.0
004b1f5d.wav,Squeak,http://www.flickr.com/videos/11054484@N04/8167375339/,CC BY 2.0
004f0d27.wav,Acoustic_guitar,http://www.flickr.com/videos/49766127@N00/2408509800/,CC BY 2.0
004f33f2.wav,Male_speech_and_man_speaking,http://www.flickr.com/videos/74224601@N00/7979448947/,CC BY-SA 2.0
00577c11.wav,Tap,http://www.flickr.com/videos/25657064@N07/4433443758/,CC BY 2.0
0059dcc1.wav,Finger_snapping,http://www.flickr.com/videos/51574715@N00/6442596207/,CC BY 2.0
005a6d3e.wav,"Microwave_oven,Buzz",http://www.flickr.com/videos/45746228@N04/5611308670/,CC BY 2.0
0060d886.wav,Raindrop,http://www.flickr.com/videos/54761490@N00/5350894120/,CC BY 2.0
00643eb4.wav,Run,http://www.flickr.com/videos/26554096@N03/4204619457/,CC BY-SA 2.0
0064e4b6.wav,"Water_tap_and_faucet,Frying_(food)",http://www.flickr.com/videos/57937056@N05/6375842197/,CC BY 2.0
006547fa.wav,Fart,http://www.flickr.com/videos/35468145500@N01/4880249827/,CC BY-SA 2.0
006817ad.wav,Race_car_and_auto_racing,http://www.flickr.com/videos/13146595@N00/7747299866/,CC BY 2.0
006993cc.wav,Frying_(food),http://www.flickr.com/videos/41999914@N00/8732842082/,CC BY 2.0
006d7b1d.wav,"Motorcycle,Microwave_oven",http://www.flickr.com/videos/22223956@N07/4563182048/,CC BY 2.0
00703e40.wav,Hi-hat,http://www.flickr.com/videos/7969301@N06/3998828797/,CC BY-SA 2.0
00728bae.wav,Walk_and_footsteps,http://www.flickr.com/videos/56468981@N00/2975861018/,CC BY-SA 2.0
00752915.wav,Buzz,http://www.flickr.com/videos/88192551@N00/6178845580/,CC BY 2.0
00764397.wav,Accelerating_and_revving_and_vroom,http://www.flickr.com/videos/39968498@N00/3689115672/,CC BY 2.0
007bcf5c.wav,Stream,http://www.flickr.com/videos/99693759@N00/13039593665/,CC BY-SA 2.0
007c570e.wav,Male_singing,http://www.flickr.com/videos/65092670@N00/3949471288/,CC BY 2.0
0080c2b3.wav,Chirp_and_tweet,http://www.flickr.com/videos/27892571@N08/9224830548/,CC BY 2.0
0080c38c.wav,Clapping,http://www.flickr.com/videos/11402767@N00/4565526548/,CC BY-SA 2.0
0082d1ef.wav,Mechanical_fan,http://www.flickr.com/videos/8996753@N06/4566573125/,CC BY 2.0
00832850.wav,Crowd,http://www.flickr.com/videos/54403442@N00/8466920741/,CC BY-SA 2.0
00894595.wav,Chirp_and_tweet,http://www.flickr.com/videos/76484120@N05/9152789642/,CC BY 2.0
008f31f6.wav,"Frying_(food),Dishes_and_pots_and_pans,Cutlery_and_silverware",http://www.flickr.com/videos/8952189@N05/4464029778/,CC BY 2.0
0091b5e2.wav,Frying_(food),http://www.flickr.com/videos/51593209@N00/6666623711/,CC BY-SA 2.0
00988b68.wav,"Mechanical_fan,Buzz",http://www.flickr.com/videos/94619194@N00/6296847860/,CC BY 2.0
0098fb8c.wav,Bass_guitar,http://www.flickr.com/videos/61090393@N08/8425830638/,CC BY 2.0
009e88d5.wav,Female_speech_and_woman_speaking,http://www.flickr.com/videos/84056180@N00/9522538971/,CC BY-SA 2.0
00a83e1b.wav,"Cricket,Burping_and_eructation",http://www.flickr.com/videos/61570443@N05/7647092440/,CC BY-SA 2.0
00acc409.wav,Bathtub_(filling_or_washing),http://www.flickr.com/videos/35090117@N05/7700507624/,CC BY 2.0
00b5098f.wav,Tap,http://www.flickr.com/videos/21273364@N07/6936177974/,CC BY 2.0
00b698e1.wav,Clapping,http://www.flickr.com/videos/79877212@N00/3390803181/,CC BY 2.0
00b6ed8d.wav,"Cupboard_open_or_close,Knock",http://www.flickr.com/videos/74105777@N00/5393723015/,CC BY 2.0
00b9e265.wav,Purr,http://www.flickr.com/videos/23353317@N05/4619939555/,CC BY 2.0
00bea733.wav,"Bicycle_bell,Chink_and_clink",http://www.flickr.com/videos/76694439@N07/6995336593/,CC BY 2.0
00c5a2da.wav,Stream,http://www.flickr.com/videos/78668340@N00/9171323295/,CC BY-SA 2.0
00cc36e9.wav,Toilet_flush,http://www.flickr.com/videos/11855439@N00/6143383052/,CC BY-SA 2.0
00ccd454.wav,Mechanical_fan,http://www.flickr.com/videos/31397006@N00/4935228193/,CC BY-SA 2.0
00d23728.wav,Clapping,http://www.flickr.com/videos/12734746@N00/2827887555/,CC BY-SA 2.0
00d281c8.wav,Squeak,http://www.flickr.com/videos/78428166@N00/5394464846/,CC BY 2.0
00d32fb2.wav,Church_bell,http://www.flickr.com/videos/90718273@N00/3687557895/,CC BY-SA 2.0
00d61180.wav,Computer_keyboard,http://www.flickr.com/videos/49071064@N00/11527785906/,CC BY-SA 2.0
00d72135.wav,"Dishes_and_pots_and_pans,Cutlery_and_silverware",http://www.flickr.com/videos/7969301@N06/5100508880/,CC BY-SA 2.0
00dd74f4.wav,Whispering,http://www.flickr.com/videos/85913179@N00/2679046407/,CC BY 2.0
00de1887.wav,"Zipper_(clothing),Writing",http://www.flickr.com/videos/98485129@N00/9673798773/,CC BY 2.0
00de18c2.wav,Keys_jangling,http://www.flickr.com/videos/69742158@N00/5464888297/,CC BY 2.0
00e10f1f.wav,Meow,http://www.flickr.com/videos/94785719@N00/6186971565/,CC BY-SA 2.0
00e1ed10.wav,Bark,http://www.flickr.com/videos/43666171@N07/7357380970/,CC BY-SA 2.0
00e645ea.wav,Screaming,http://www.flickr.com/videos/44925192@N00/6577367805/,CC BY 2.0
00e70ab4.wav,Cupboard_open_or_close,http://www.flickr.com/videos/14591176@N07/4640570432/,CC BY 2.0
00ea7b09.wav,Raindrop,http://www.flickr.com/videos/92321539@N00/7157510370/,CC BY-SA 2.0
00f0a206.wav,Female_singing,http://www.flickr.com/videos/26554096@N03/10383161995/,CC BY-SA 2.0
00f372ab.wav,Meow,http://www.flickr.com/videos/35004203@N00/4432375194/,CC BY 2.0
00fb384d.wav,Bus,http://www.flickr.com/videos/44666805@N08/5890662978/,CC BY 2.0
00fcaf4c.wav,Church_bell,http://www.flickr.com/videos/41894171528@N01/9282060862/,CC BY 2.0
00fe9848.wav,Marimba_and_xylophone,http://www.flickr.com/videos/10787737@N02/4327407350/,CC BY 2.0
01024055.wav,Sneeze,http://www.flickr.com/videos/26554096@N03/5717524263/,CC BY-SA 2.0
01044063.wav,"Shatter,Computer_keyboard,Keys_jangling",http://www.flickr.com/videos/8996753@N06/2949306897/,CC BY 2.0
0104cf7d.wav,Finger_snapping,http://www.flickr.com/videos/82349036@N00/2851340657/,CC BY-SA 2.0
0106eb6e.wav,Fill_(with_liquid),http://www.flickr.com/videos/9036889@N06/3546434187/,CC BY-SA 2.0
0107399e.wav,Waves_and_surf,http://www.flickr.com/videos/66142667@N00/7590561498/,CC BY 2.0
0107d033.wav,Yell,http://www.flickr.com/videos/8566600@N07/2977514134/,CC BY 2.0
010a1537.wav,Traffic_noise_and_roadway_noise,http://www.flickr.com/videos/41291440@N00/8377705680/,CC BY-SA 2.0
010a535c.wav,Drawer_open_or_close,http://www.flickr.com/videos/38928586@N07/12107834524/,CC BY 2.0
010af543.wav,"Bicycle_bell,Dishes_and_pots_and_pans,Cutlery_and_silverware,Chink_and_clink",http://www.flickr.com/videos/68225882@N00/12901419484/,CC BY-SA 2.0
011254b9.wav,"Gasp,Sigh,Finger_snapping",http://www.flickr.com/videos/66787975@N00/6230834443/,CC BY-SA 2.0
01131cb2.wav,"Water_tap_and_faucet,Sink_(filling_or_washing)",http://www.flickr.com/videos/13910409@N05/2599060546/,CC BY 2.0
0114bd77.wav,Acoustic_guitar,http://www.flickr.com/videos/67033974@N00/5748219508/,CC BY 2.0
0115e06c.wav,Drawer_open_or_close,http://www.flickr.com/videos/25785996@N06/3913548305/,CC BY 2.0
0116583f.wav,Applause,http://www.flickr.com/videos/31968489@N07/3294139361/,CC BY 2.0
011729fb.wav,"Strum,Electric_guitar",http://www.flickr.com/videos/69824704@N00/2887357568/,CC BY-SA 2.0
011789b4.wav,Chirp_and_tweet,http://www.flickr.com/videos/14161566@N06/5521616924/,CC BY-SA 2.0
011fac4e.wav,Chirp_and_tweet,http://www.flickr.com/videos/25168691@N06/13647260153/,CC BY 2.0
012293ea.wav,Trickle_and_dribble,http://www.flickr.com/videos/11868850@N00/9593376691/,CC BY-SA 2.0
01261782.wav,Chink_and_clink,http://www.flickr.com/videos/56756426@N00/2829749443/,CC BY-SA 2.0
012ec31b.wav,Whispering,http://www.flickr.com/videos/49662921@N00/8072805522/,CC BY 2.0
012ef7ae.wav,Knock,http://www.flickr.com/videos/63504805@N00/7273982506/,CC BY 2.0
013978ee.wav,Bass_guitar,http://www.flickr.com/videos/84979541@N00/3712279912/,CC BY-SA 2.0
013a1712.wav,Motorcycle,http://www.flickr.com/videos/72559856@N00/3872967626/,CC BY 2.0
013d4747.wav,Drawer_open_or_close,http://www.flickr.com/videos/35090117@N05/6814084539/,CC BY 2.0
0141bddf.wav,Cricket,http://www.flickr.com/videos/8457129@N02/8267751442/,CC BY 2.0
01421f72.wav,Traffic_noise_and_roadway_noise,http://www.flickr.com/videos/45909111@N00/7228112622/,CC BY 2.0
01472913.wav,Gasp,http://www.flickr.com/videos/57937056@N05/6374259431/,CC BY 2.0
